Time,Temperature,Humidity,Air Quality,Light,Loudness
1623782116,37.75,29.06,75,645,155
1623782126,37.66,29,75,643,146
1623782136,37.5,28.94,75,643,144
1623782146,37.47,29.06,75,644,147
1623782156,37.44,29.06,75,644,148
1623782166,37.38,29.19,75,645,150
1623782176,37.5,29.19,75,643,149
1623782186,37.56,29.19,75,643,152
1623782196,37.53,29.19,75,644,147
1623782206,37.53,29.19,75,643,127
1623782216,37.62,29.12,75,643,147
1623782226,37.81,29.06,75,644,131
1623782236,37.88,29,75,643,164
1623782246,37.84,29,75,642,160
1623782256,37.78,29.06,75,643,132
1623782266,37.75,29.12,75,643,142
1623782276,37.72,29,75,643,142
1623782286,37.72,29,75,642,152
1623782296,37.69,29.12,75,642,140
1623782306,37.66,29.19,75,643,149
1623782316,37.47,29.31,75,643,150
1623782326,37.41,29.44,75,643,171
1623782336,37.34,29.56,75,645,153
1623782346,37.34,29.69,75,643,145
1623782356,37.31,29.75,75,642,150
1623782366,37.34,29.75,75,642,146
1623782376,37.31,29.69,75,642,165
1623782386,37.25,29.81,75,643,140
1623782396,37.22,29.69,75,640,150
1623782406,37.09,29.69,75,640,142
1623782416,37.16,29.75,75,639,142
1623782426,37.12,29.81,75,640,158
1623782436,37.09,29.81,75,640,130
1623782446,37.12,30,75,639,158
1623782456,37.25,29.88,75,639,180
1623782466,37.09,29.75,75,639,123
1623782476,37.09,29.75,75,639,126
1623782486,37.16,29.75,75,639,140
1623782496,37.12,29.75,75,639,114
1623782506,37.22,29.69,75,639,157
1623782516,37.12,29.75,75,638,147
1623782526,37.09,29.81,75,638,159
1623782536,37.09,29.81,75,638,128
1623782546,37.09,29.75,75,638,148
1623782556,37.06,29.69,75,637,152
1623782566,37.03,29.88,75,638,163
1623782576,37.06,29.81,75,637,168
1623782586,37.03,29.94,75,638,162
1623782596,37.06,30,75,636,171
1623782606,37,30,75,636,127
1623782616,36.84,30.12,75,636,159
1623782626,36.75,30.25,75,636,137
1623782636,36.72,30.31,75,638,151
1623782646,36.56,30.44,75,635,150
1623782656,36.41,30.56,75,636,148
1623782666,36.16,30.69,75,637,137
1623782676,35.97,30.94,75,635,151
1623782686,35.88,31.19,75,637,146
1623782696,35.91,31.38,75,635,135
1623782706,35.94,31.31,75,635,144
1623782716,35.91,31.38,75,636,165
1623782726,35.91,31.25,75,635,162
1623782736,36,31.31,75,635,120
1623782746,36,31.31,75,635,129
1623782756,36.06,31.31,75,635,172
1623782766,36.06,31.25,75,635,128
1623782776,36.09,31.25,75,634,168
1623782786,36,31.25,75,635,148
1623782796,35.97,31.25,75,635,120
1623782806,36,31.31,75,635,144
1623782816,35.88,31.25,75,635,163
1623782826,35.69,31.38,75,634,135
1623782836,35.56,31.5,75,634,162
1623782846,35.5,31.81,75,635,160
1623782856,35.38,32.12,75,636,154
1623782866,35.28,32.38,75,635,144
1623782876,35.22,32.62,75,634,144
1623782886,35.03,32.81,75,636,127
1623782896,34.84,33.06,75,635,153
1623782906,34.59,33.31,75,635,131
1623782916,34.41,33.69,75,635,135
1623782926,34.22,34,75,634,144
1623782936,34.06,34.31,75,635,156
1623782946,33.81,34.62,75,637,161
1623782956,33.59,35,75,636,128
1623782966,33.44,35.31,75,635,162
1623782976,33.25,35.69,75,635,144
1623782986,33.09,35.94,75,634,148
1623782996,32.94,36.25,75,637,143
1623783006,32.69,36.44,75,636,150
1623783016,32.53,36.81,75,637,151
1623783026,32.44,37.06,75,637,158
1623783036,32.31,37.25,75,635,138
1623783046,32.12,37.56,75,635,163
1623783056,32.06,37.81,75,637,150
1623783066,32,38,75,636,138
1623783076,31.91,38.19,75,635,141
1623783086,31.91,38.38,75,634,127
1623783096,31.84,38.38,75,636,140
1623783106,31.84,38.44,75,637,150
1623783116,31.88,38.5,75,635,124
1623783126,31.78,38.56,75,637,154
1623783136,31.72,38.62,75,637,151
1623783146,31.62,38.88,75,636,169
1623783156,31.53,39,75,635,146
1623783166,31.5,39.12,75,635,159
1623783176,31.41,39.19,75,635,159
1623783186,31.34,39.44,75,636,136
1623783196,31.25,39.62,75,635,148
1623783206,31.22,39.75,75,637,159
1623783216,31.12,39.88,75,638,140
1623783226,31.03,40,75,635,154
1623783236,31.09,40.06,75,635,122
1623783246,31,40.19,75,637,177
1623783256,31,40.19,75,635,134
1623783266,31.12,40.19,75,635,153
1623783276,31.06,40.12,75,636,152
1623783286,31.03,40.19,75,635,155
1623783296,31.06,40.19,75,635,171
1623783306,30.97,40.19,75,636,161
1623783316,30.97,40.19,75,635,146
1623783326,30.91,40.44,75,635,135
1623783336,30.84,40.62,75,635,140
1623783346,30.81,40.62,75,635,140
1623783356,30.78,40.69,75,636,197
1623783366,30.72,40.62,75,636,149
1623783376,30.69,40.69,75,634,144
1623783386,30.62,40.75,75,636,144
1623783396,30.53,40.69,75,636,152
1623783406,30.41,40.75,75,635,158
1623783416,30.31,41,75,637,139
1623783426,30.34,41.31,75,637,153
1623783436,30.34,41.44,75,635,138
1623783446,30.41,41.5,75,635,137
1623783456,30.47,41.5,75,635,127
1623783466,30.47,41.25,75,634,162
1623783476,30.5,41.12,75,637,162
1623783486,30.56,41.12,75,636,139
1623783496,30.53,41.12,75,636,138
1623783506,30.59,41.19,75,634,149
1623783516,30.56,41.19,75,636,151
1623783526,30.53,41.12,75,636,159
1623783536,30.62,41.31,75,635,159
1623783546,30.53,41.31,75,635,153
1623783556,30.53,41.38,75,635,162
1623783566,30.5,41.38,75,635,138
1623783576,30.41,41.5,75,636,160
1623783586,30.34,41.5,75,636,133
1623783596,30.34,41.62,75,634,167
1623783606,30.25,41.81,75,634,154
1623783616,30.22,41.88,75,636,142
1623783626,30.19,41.94,75,636,128
1623783636,30.16,42.12,75,635,138
1623783646,30.06,42.25,75,635,136
1623783656,30.03,42.25,75,637,142
1623783666,30.03,42.25,75,635,150
1623783676,30.03,42.25,75,636,155
1623783686,30.03,42.31,75,635,162
1623783696,30,42.38,75,636,136
1623783706,30.03,42.38,75,634,146
1623783716,30,42.25,75,634,111
1623783726,30.06,42.25,75,634,155
1623783736,29.97,42.25,75,636,152
1623783746,29.97,42.19,75,634,139
1623783756,29.94,42.31,75,635,153
1623783766,29.94,42.44,75,634,172
1623783776,29.94,42.56,75,634,146
1623783786,29.97,42.56,75,635,139
1623783796,29.97,42.56,75,635,157
1623783806,29.94,42.56,75,635,124
1623783816,29.97,42.56,75,634,147
1623783826,30,42.5,75,636,160
1623783836,30.06,42.44,75,634,143
1623783846,30.09,42.44,75,636,123
1623783856,30.06,42.5,75,634,173
1623783866,30.12,42.44,75,634,136
1623783876,30.09,42.62,75,636,141
1623783886,30.09,42.62,75,636,154
1623783896,30.06,42.69,75,635,171
1623783906,30.03,42.69,75,635,166
1623783916,30.06,42.69,75,636,154
1623783926,30.06,42.62,75,634,161
1623783936,30.03,42.69,75,634,147
1623783946,30.09,42.69,75,635,115
1623783956,30,42.56,75,634,149
1623783966,29.97,42.62,75,635,179
1623783976,29.94,42.62,75,634,137
1623783986,29.97,42.75,75,636,173
1623783996,29.91,42.75,75,636,138
1623784006,29.91,42.88,75,635,162
1623784016,29.94,42.94,75,634,129
1623784026,29.94,42.94,75,634,145
1623784036,29.88,42.94,75,636,148
1623784046,29.94,42.88,75,635,155
1623784056,29.94,42.94,75,635,149
1623784066,29.97,42.94,75,637,140
1623784076,30,42.88,75,636,149
1623784086,30.06,42.94,75,634,151
1623784096,30.09,42.88,75,635,144
1623784106,30.09,42.75,75,635,145
1623784116,30.09,42.75,75,635,162
1623784126,30.03,42.75,75,635,142
1623784136,30.03,42.81,75,634,194
1623784146,30.06,42.81,75,635,161
1623784156,29.97,42.81,75,634,136
1623784166,29.94,42.88,75,634,154
1623784176,29.91,42.88,75,634,156
1623784186,29.94,42.88,75,634,142
1623784196,29.97,42.75,75,635,149
1623784206,29.94,42.75,75,634,127
1623784216,29.97,42.81,75,634,169
1623784226,29.84,43.06,75,634,168
1623784236,29.88,43.06,75,634,155
1623784246,29.91,42.94,75,634,152
1623784256,29.88,42.81,75,634,144
1623784266,29.81,42.81,75,634,162
1623784276,29.84,42.75,75,634,134
1623784286,29.84,42.81,75,634,126
1623784296,29.78,42.75,75,634,153
1623784306,29.75,42.69,75,634,161
1623784316,29.75,42.81,75,636,176
1623784326,29.72,42.94,75,634,118
1623784336,29.72,43.25,75,634,131
1623784346,29.66,43.44,75,634,157
1623784356,29.59,43.62,75,636,146
1623784366,29.56,43.69,75,634,159
1623784376,29.56,43.81,75,634,162
1623784386,29.53,44.06,75,634,149
1623784396,29.5,44.06,75,634,136
1623784406,29.47,44.06,75,636,130
1623784416,29.44,44.19,75,636,159
1623784426,29.5,44.19,75,635,152
1623784436,29.5,44.25,75,634,129
1623784446,29.53,44.25,75,634,135
1623784456,29.5,44.19,75,636,152
1623784466,29.5,44.12,75,636,151
1623784476,29.53,43.88,75,634,155
1623784486,29.56,43.81,75,636,164
1623784496,29.56,43.88,75,635,149
1623784506,29.53,43.88,75,634,150
1623784516,29.53,43.88,75,635,150
1623784526,29.47,43.88,75,635,147
1623784536,29.41,44.12,75,635,127
1623784546,29.34,44.12,75,634,131
1623784556,29.38,44.31,75,636,155
1623784566,29.41,44.31,75,634,139
1623784576,29.44,44.31,75,635,135
1623784586,29.47,44.06,75,635,146
1623784596,29.47,43.88,75,634,127
1623784606,29.53,43.81,75,634,158
1623784616,29.5,43.69,75,634,158
1623784626,29.47,43.81,75,636,134
1623784636,29.47,43.94,75,635,145
1623784646,29.41,44,75,634,171
1623784656,29.44,44.19,75,635,108
1623784666,29.44,44.25,75,635,145
1623784676,29.41,44.31,75,634,139
1623784686,29.41,44.38,75,634,167
1623784696,29.41,44.44,75,634,148
1623784706,29.38,44.5,75,636,126
1623784716,29.34,44.19,75,636,149
1623784726,29.41,44,75,636,159
1623784736,29.44,43.94,75,635,134
1623784746,29.41,44.19,75,634,144
1623784756,29.44,44.31,75,634,172
1623784766,29.44,44.38,75,636,163
1623784776,29.44,44.44,75,636,142
1623784786,29.41,44.38,75,636,157
1623784796,29.41,44.44,75,634,169
1623784806,29.34,44.5,75,635,145
1623784816,29.38,44.5,75,636,156
1623784826,29.38,44.5,75,635,148
1623784836,29.34,44.44,75,634,142
1623784846,29.34,44.56,75,634,161
1623784856,29.38,44.5,75,634,136
1623784866,29.38,44.38,75,634,137
1623784876,29.44,44.38,75,635,162
1623784886,29.44,44.44,75,634,148
1623784896,29.5,44.31,75,634,131
1623784906,29.56,44.12,75,636,134
1623784916,29.53,44.06,75,635,142
1623784926,29.53,44.06,75,637,153
1623784936,29.5,44,75,635,147
1623784946,29.5,44.06,75,634,162
1623784956,29.5,44.19,75,636,131
1623784966,29.47,44.06,75,634,155
1623784976,29.44,44.19,75,634,167
1623784986,29.38,44.25,75,636,156
1623784996,29.41,44.25,75,634,146
1623785006,29.41,44.19,75,634,158
1623785016,29.38,44.12,75,635,127
1623785026,29.38,43.88,75,634,158
1623785036,29.34,43.94,75,636,136
1623785046,29.31,44.19,75,636,157
1623785056,29.34,44.31,75,634,140
1623785066,29.31,44.44,75,635,140
1623785076,29.38,44.38,75,634,149
1623785086,29.38,44.38,75,635,172
1623785096,29.41,44.19,75,635,152
1623785106,29.38,44.19,75,636,153
1623785116,29.41,44,75,634,127
1623785126,29.38,44.06,75,634,140
1623785136,29.34,44.12,75,636,155
1623785146,29.31,44.31,75,636,163
1623785156,29.25,44,75,636,128
1623785166,29.22,43.94,75,634,139
1623785176,29.22,44.25,75,635,152
1623785186,29.25,44.5,75,636,153
1623785196,29.19,44.25,75,634,149
1623785206,29.22,44.06,75,634,150
1623785216,29.25,44.06,75,636,154
1623785226,29.28,44.19,75,635,144
1623785236,29.31,44.12,75,634,178
1623785246,29.31,44,75,635,154
1623785256,29.34,43.94,75,634,143
1623785266,29.34,43.88,75,636,148
1623785276,29.34,43.81,75,634,150
1623785286,29.31,43.69,75,634,172
1623785296,29.31,43.56,75,636,154
1623785306,29.31,43.69,75,634,138
1623785316,29.34,43.56,75,635,142
1623785326,29.28,43.56,75,634,124
1623785336,29.25,43.56,75,636,153
1623785346,29.22,43.62,75,634,133
1623785356,29.16,43.62,75,634,161
1623785366,29.22,43.69,75,634,139
1623785376,29.28,43.69,75,636,145
1623785386,29.28,43.69,75,634,132
1623785396,29.28,43.62,75,634,150
1623785406,29.28,43.75,75,634,157
1623785416,29.31,43.62,75,635,127
1623785426,29.31,43.62,75,634,141
1623785436,29.28,43.5,75,634,150
1623785446,29.31,43.56,75,636,137
1623785456,29.34,43.5,75,634,146
1623785466,29.34,43.56,75,634,139
1623785476,29.31,43.56,75,636,138
1623785486,29.31,43.44,75,634,144
1623785496,29.31,43.62,75,634,165
1623785506,29.28,43.56,75,636,167
1623785516,29.31,43.62,75,636,143
1623785526,29.28,43.69,75,634,127
1623785536,29.28,43.75,75,634,155
1623785546,29.28,44,75,634,140
1623785556,29.28,43.94,75,634,157
1623785566,29.22,44.06,75,634,153
1623785576,29.22,44.06,75,634,173
1623785586,29.22,44,75,634,159
1623785596,29.19,44.12,75,636,168
1623785606,29.19,44.12,75,634,142
1623785616,29.19,44.25,75,634,142
1623785626,29.12,44.31,75,635,152
1623785636,29.12,44.38,75,634,145
1623785646,29.06,44.19,75,634,148
1623785656,29.06,44.19,75,634,166
1623785666,29.09,44.12,75,636,146
1623785676,29.06,44.06,75,634,143
1623785686,29.06,44.12,75,634,133
1623785696,29.12,44.31,75,634,145
1623785706,29.12,44.38,75,634,121
1623785716,29.03,44.25,75,634,145
1623785726,29.06,44.19,75,634,157
1623785736,29.09,44.12,75,634,162
1623785746,29.03,44.06,75,635,127
1623785756,29.03,44.06,75,634,92
1623785766,29.09,44.31,75,634,153
1623785776,29.06,44.25,75,635,136
1623785786,29.09,44.44,75,635,178
1623785796,29.06,44.44,75,635,131
1623785806,29.03,44.31,75,634,181
1623785816,29.03,44.19,75,634,162
1623785826,29.03,44.31,75,634,159
1623785836,29.03,44.25,75,636,151
1623785846,22.94,62.88,75,631,187
1623785856,23.03,62.81,75,627,139
1623785866,23.03,62.81,75,625,165
1623785876,23.06,62.75,75,625,158
1623785886,23.09,62.69,75,625,127
1623785896,23.03,62.75,75,625,144
1623785906,23.03,62.69,75,625,130
1623785916,23.03,62.69,75,625,119
1623785926,23.06,62.69,75,625,161
1623785936,23.06,62.62,75,625,147
1623785946,23.03,62.69,75,625,136
1623785956,23.03,62.69,75,626,164
1623785966,23,62.69,75,625,127
1623785976,23,62.69,75,627,140
1623785986,23,62.75,75,625,136
1623785996,22.97,62.69,75,625,110
1623786006,22.97,62.75,75,625,142
1623786016,22.97,62.81,75,625,116
1623786026,22.97,62.75,75,625,145
1623786036,23,62.88,75,625,123
1623786046,23,62.75,75,625,127
1623786056,23,62.81,75,627,168
1623786066,23,62.81,75,625,177
1623786076,23,62.75,75,625,125
1623786086,23,62.81,75,625,133
1623786096,22.94,62.81,75,627,117
1623786106,22.97,62.81,75,625,162
1623786116,23,62.75,75,625,131
1623786126,22.97,62.81,75,625,138
1623786136,23,62.75,75,625,111
1623786146,23,62.81,75,626,148
1623786156,22.97,62.75,75,626,138
1623786166,23,62.69,75,625,164
1623786176,22.94,62.75,75,626,129
1623786186,22.94,62.75,75,625,142
1623786196,22.94,62.75,75,627,132
1623786206,22.97,62.62,75,625,134
1623786216,23,62.75,75,625,147
1623786226,22.97,62.69,75,626,173
1623786236,22.94,62.62,75,626,170
1623786246,22.97,62.69,75,625,136
1623786256,22.97,62.75,75,627,138
1623786266,22.97,62.69,75,627,177
1623786276,23.03,62.75,75,625,150
1623786286,23.03,62.62,75,625,187
1623786296,23.03,62.69,75,626,183
1623786306,23,62.62,75,627,158
1623786316,22.97,62.62,75,627,175
1623786326,23,62.56,75,627,97
1623786336,23.03,62.62,75,627,153
1623786346,23,62.62,75,626,159
1623786356,23.03,62.56,75,625,146
1623786366,23.03,62.56,75,625,154
1623786376,23,62.62,75,625,156
1623786386,23.03,62.62,75,626,161
1623786396,23.06,62.62,75,626,147
1623786406,23.03,62.5,75,626,147
1623786416,23.06,62.5,75,626,165
1623786426,23.06,62.5,75,625,122
1623786436,23.06,62.44,75,625,109
1623786446,23.31,61.31,75,626,167
1623786456,23.28,61.44,75,630,148
1623786466,23.31,61.56,75,627,140
1623786476,23.25,61.38,75,626,141
1623786486,23.25,61.44,75,626,179
1623786496,23.25,61.38,75,626,130
1623786506,23.31,61.38,75,626,159
1623786516,23.31,61.38,75,626,112
1623786526,23.31,61.38,75,627,159
1623786536,23.34,61.38,75,628,142
1623786546,23.25,61.56,75,626,138
1623786556,23.22,61.62,75,625,142
1623786566,23.19,61.75,75,626,139
1623786576,23.25,61.69,75,626,136
1623786586,23.28,61.69,75,628,159
1623786596,23.31,61.62,75,626,134
1623786606,23.28,61.62,75,626,142
1623786616,23.31,61.56,75,627,136
1623786626,23.34,61.5,75,628,166
1623786636,23.25,61.56,75,626,119
1623786646,23.28,61.62,75,628,167
1623786656,23.25,61.62,75,627,156
1623786666,23.25,61.56,75,626,152
1623786676,23.22,61.56,75,625,136
1623786686,23.19,61.62,75,626,162
1623786696,23.19,61.69,75,626,127
1623786706,23.25,61.69,75,627,127
1623786716,23.31,61.56,75,626,136
1623786726,23.34,61.56,75,626,171
1623786736,23.25,61.5,75,627,225
1623786746,23.22,61.62,75,626,148
1623786756,23.06,61.69,75,627,168
1623786766,23.03,61.81,75,626,140
1623786776,22.97,62,75,625,154
1623786786,22.94,62.12,75,628,158
1623786796,22.88,62.19,75,625,140
1623786806,22.84,62.31,75,626,158
1623786816,22.84,62.38,75,626,143
1623786826,22.91,62.5,75,626,164
1623786836,22.97,62.38,75,628,163
1623786846,23.03,62.38,75,626,135
1623786856,23.03,62.25,75,628,152
1623786866,23.06,62.12,75,626,140
1623786876,23.03,62.06,75,626,187
1623786886,23,62.06,75,626,124
1623786896,22.84,62.06,75,626,324
1623786906,22.81,62.19,75,626,85
1623786916,22.66,62.5,75,626,117
1623786926,22.56,62.69,75,626,120
1623786936,22.53,63,75,628,160
1623786946,22.56,63.19,75,625,158
1623786956,22.53,63.31,75,628,141
1623786966,22.53,63.38,75,626,189
1623786976,22.44,63.31,75,628,137
1623786986,22.41,63.38,75,626,145
1623786996,22.34,63.5,75,626,160
1623787006,22.38,63.56,75,625,149
1623787016,22.34,63.62,75,626,134
1623787026,22.25,63.75,75,625,131
1623787036,22.28,63.94,75,625,130
1623787046,22.31,63.94,75,625,155
1623787056,22.31,63.94,75,626,131
1623787066,22.41,63.88,75,625,167
1623787076,22.47,63.75,75,625,147
1623787086,22.47,63.62,75,626,153
1623787096,22.47,63.56,75,626,152
1623787106,22.41,63.56,75,625,143
1623787116,22.34,63.75,75,627,135
1623787126,22.31,63.75,75,625,161
1623787136,22.31,63.88,75,625,118
1623787146,22.31,63.94,75,625,152
1623787156,22.31,64,75,626,146
1623787166,22.31,63.88,75,625,139
1623787176,22.28,63.88,75,625,180
1623787186,22.31,63.94,75,625,136
1623787196,22.25,63.88,75,626,119
1623787206,22.25,63.88,75,626,154
1623787216,22.25,64,75,628,149
1623787226,22.28,64.06,75,626,55
1623787236,22.31,63.94,75,626,95
1623787246,22.34,63.88,75,626,142
1623787256,22.31,63.88,75,626,123
1623787266,22.31,63.88,75,626,93
1623787276,22.34,63.81,75,628,169
1623787286,22.34,63.75,75,625,165
1623787296,22.34,63.81,75,627,113
1623787306,22.38,63.81,75,626,154
1623787316,22.47,63.69,75,625,130
1623787326,22.47,63.69,75,625,140
1623787336,22.44,63.56,75,627,136
1623787346,22.38,63.5,75,626,132
1623787356,22.38,63.56,75,628,143
1623787366,22.38,63.62,75,626,134
1623787376,22.38,63.62,75,626,147
1623787386,22.47,63.56,75,626,130
1623787396,22.5,63.56,75,626,147
1623787406,22.56,63.44,75,626,125
1623787416,22.53,63.44,75,626,183
1623787426,22.62,63.31,75,626,145
1623787436,22.66,63.19,75,626,165
1623787446,22.72,63,75,626,144
1623787456,22.78,62.88,75,626,132
1623787466,22.75,62.75,75,626,147
1623787476,22.66,62.75,75,625,206
1623787486,22.69,62.81,75,626,149
1623787496,22.66,62.88,75,626,125
1623787506,22.62,63,75,626,170
1623787516,22.69,63.06,75,626,144
1623787526,22.72,63.06,75,627,138
1623787536,22.72,62.94,75,626,148
1623787546,22.78,62.88,75,625,157
1623787556,22.81,62.81,75,626,155
1623787566,22.84,62.75,75,626,169
1623787576,22.78,62.75,75,627,34
1623787586,22.72,62.81,75,628,235
1623787596,22.66,63,75,627,119
1623787606,22.59,63,75,625,153
1623787616,22.56,63.12,75,626,90
1623787626,22.47,63.12,75,625,141
1623787636,22.47,63.38,75,625,148
1623787646,22.44,63.44,75,626,154
1623787656,22.41,63.56,75,626,156
1623787666,22.44,63.44,75,627,171
1623787676,22.44,63.5,75,626,154
1623787686,22.31,63.5,75,626,160
1623787696,22.31,63.5,75,626,119
1623787706,22.22,63.56,75,625,149
1623787716,22.25,63.69,75,626,78
1623787726,22.25,63.88,75,626,138
1623787736,22.31,63.88,75,626,138
1623787746,22.31,63.88,75,625,165
1623787756,22.34,63.94,75,625,132
1623787766,22.31,63.88,75,628,124
1623787776,22.34,63.88,75,626,110
1623787786,22.34,63.81,75,625,166
1623787796,22.38,63.75,75,627,170
1623787806,22.44,63.56,75,627,136
1623787816,22.44,63.5,75,626,151
1623787826,22.5,63.38,75,626,177
1623787836,22.41,63.25,75,626,132
1623787846,22.38,63.12,75,626,149
1623787856,22.31,63.19,75,625,194
1623787866,22.28,63.19,75,625,159
1623787876,22.28,63.38,75,626,152
1623787886,22.25,63.56,75,627,111
1623787896,22.22,63.56,75,627,109
1623787906,22.28,63.69,75,626,127
1623787916,22.31,63.62,75,626,138
1623787926,22.34,63.75,75,626,138
1623787936,22.38,63.56,75,626,127
1623787946,22.44,63.5,75,628,155
1623787956,22.41,63.25,75,627,150
1623787966,22.47,63.06,75,626,178
1623787976,22.5,63,75,625,148
1623787986,22.56,63,75,625,167
1623787996,22.62,63,75,626,146
1623788006,22.69,62.75,75,625,167
1623788016,22.78,62.38,75,626,180
1623788026,22.78,62.12,75,626,184
1623788036,22.81,61.81,75,626,154
1623788046,22.84,61.62,75,626,182
1623788056,22.84,61.56,75,625,143
1623788066,22.94,61.5,75,626,125
1623788076,23,61.44,75,625,152
1623788086,22.94,61.5,75,626,137
1623788096,23,61.56,75,628,129
1623788106,23.03,61.44,75,625,160
1623788116,23.12,61.19,75,626,127
1623788126,23.09,61.06,75,626,144
1623788136,23.03,60.94,75,625,159
1623788146,23,60.81,75,626,139
1623788156,23,60.88,75,626,143
1623788166,23.03,60.69,75,627,139
1623788176,23.06,60.69,75,625,135
1623788186,23.06,60.69,75,626,154
1623788196,23.03,60.81,75,626,141
1623788206,23,60.81,75,625,155
1623788216,22.91,60.69,75,626,147
1623788226,22.88,60.81,75,626,128
1623788236,22.84,61.06,75,628,173
1623788246,22.84,61.19,75,626,146
1623788256,22.84,61.31,75,626,136
1623788266,22.88,61.38,75,626,153
1623788276,22.88,61.5,75,626,128
1623788286,22.78,61.31,75,627,129
1623788296,22.72,61.31,75,626,179
1623788306,22.78,61.38,75,628,154
1623788316,22.75,61.25,75,626,141
1623788326,22.75,61.19,75,626,153
1623788336,22.75,60.88,75,626,162
1623788346,22.69,60.88,75,628,122
1623788356,22.66,60.81,75,627,131
1623788366,22.62,60.94,75,626,143
1623788376,22.66,61,75,626,170
1623788386,22.59,61,75,628,117
1623788396,22.62,61.19,75,628,148
1623788406,22.59,61,75,626,158
1623788416,22.53,60.69,75,626,173
1623788426,22.53,60.88,75,626,189
1623788436,22.56,61.06,75,626,160
1623788446,22.53,60.94,75,626,156
1623788456,22.53,60.88,75,628,143
1623788466,22.5,60.88,75,628,70
1623788476,22.47,60.81,75,626,152
1623788486,22.47,60.88,75,628,123
1623788496,22.41,60.94,75,626,184
1623788506,22.34,61.06,75,626,132
1623788516,22.34,61.31,75,626,142
1623788526,22.34,61.38,75,628,194
1623788536,22.31,61.25,75,626,134
1623788546,22.22,61.12,75,626,143
1623788556,22.22,61.12,75,626,160
1623788566,22.22,61.25,75,626,124
1623788576,22.22,61.25,75,626,187
1623788586,22.25,61.44,75,626,191
1623788596,22.22,61.5,75,625,176
1623788606,22.25,61.56,75,625,116
1623788616,22.19,61.5,75,626,159
1623788626,22.22,61.44,75,627,155
1623788636,22.19,61.25,75,625,142
1623788646,22.22,61.25,75,626,144
1623788656,22.25,61.25,75,625,138
1623788666,22.31,61.31,75,625,121
1623788676,22.38,61.12,75,626,126
1623788686,22.47,61,75,626,133
1623788696,22.53,60.81,75,626,128
1623788706,22.53,60.69,75,625,178
1623788716,22.53,60.62,75,628,159
